Sorted Corona virus cases by date, Total
26/04/2020,101533
08/05/2020,94422
02/05/2020,91874
09/05/2020,90117
07/05/2020,90027
11/04/2020,89346
10/05/2020,87552
10/04/2020,87024
05/04/2020,86485
22/04/2020,86045
13/05/2020,85359
01/05/2020,84980
09/04/2020,84914
17/04/2020,83544
27/04/2020,83227
18/04/2020,82162
04/04/2020,81757
12/04/2020,81701
03/05/2020,81118
15/04/2020,80146
16/04/2020,79968
11/05/2020,79637
06/05/2020,79303
19/04/2020,79024
04/05/2020,78588
24/04/2020,78087
03/04/2020,77572
05/05/2020,77439
30/04/2020,77083
02/04/2020,76893
21/04/2020,76361
08/04/2020,74885
01/04/2020,74408
25/04/2020,73306
29/04/2020,72862
20/04/2020,72510
13/04/2020,72391
07/04/2020,71399
06/04/2020,71291
12/05/2020,71144
23/04/2020,66424
14/04/2020,66378
28/04/2020,65565
29/03/2020,65030
28/03/2020,63962
31/03/2020,61814
27/03/2020,59747
30/03/2020,58546
26/03/2020,51207
24/03/2020,39721
25/03/2020,38917
22/03/2020,34127
23/03/2020,33000
20/03/2020,29232
21/03/2020,28740
19/03/2020,18300
13/02/2020,15151
18/03/2020,14751
17/03/2020,12675
16/03/2020,12651
15/03/2020,11511
14/03/2020,9413
13/03/2020,8354
12/03/2020,6883
10/03/2020,4541
11/03/2020,4379
14/02/2020,4215
07/03/2020,3962
05/02/2020,3907
09/03/2020,3871
06/02/2020,3751
08/03/2020,3690
08/02/2020,3442
04/02/2020,3243
07/02/2020,3218
10/02/2020,2988
06/03/2020,2856
03/02/2020,2818
09/02/2020,2619
02/02/2020,2608
11/02/2020,2565
15/02/2020,2560
05/03/2020,2239
04/03/2020,2212
16/02/2020,2162
01/02/2020,2120
12/02/2020,2072
17/02/2020,2067
02/03/2020,2042
31/01/2020,2003
18/02/2020,1995
19/02/2020,1864
29/02/2020,1838
01/03/2020,1823
03/03/2020,1797
28/01/2020,1767
30/01/2020,1756
29/01/2020,1480
28/02/2020,1264
27/02/2020,1106
22/02/2020,1085
23/02/2020,1008
21/02/2020,996
26/02/2020,863
27/01/2020,797
25/02/2020,793
26/01/2020,673
20/02/2020,532
24/02/2020,527
25/01/2020,453
24/01/2020,266
21/01/2020,153
22/01/2020,142
19/01/2020,136
23/01/2020,97
31/12/2019,27
20/01/2020,20
18/01/2020,17
03/01/2020,17
05/01/2020,15
17/01/2020,5
15/01/2020,1
13/01/2020,1
16/01/2020,0
08/01/2020,0
07/01/2020,0
06/01/2020,0
04/01/2020,0
02/01/2020,0
01/01/2020,0
12/01/2020,0
11/01/2020,0
10/01/2020,0
09/01/2020,0
14/01/2020,0
