Sorted Corona virus death cases by date, Total
16/04/2020,10520
17/04/2020,8709
18/04/2020,8568
08/04/2020,7663
15/04/2020,7604
10/04/2020,7445
24/04/2020,7444
22/04/2020,7284
11/04/2020,7221
30/04/2020,6671
04/04/2020,6633
29/04/2020,6518
19/04/2020,6493
09/04/2020,6436
07/05/2020,6387
26/04/2020,6246
05/04/2020,6145
23/04/2020,6101
12/04/2020,6026
06/05/2020,5952
02/05/2020,5838
08/05/2020,5748
13/05/2020,5583
01/05/2020,5534
25/04/2020,5432
14/04/2020,5371
21/04/2020,5336
09/05/2020,5268
13/04/2020,5266
07/04/2020,5266
20/04/2020,5036
03/04/2020,4956
02/04/2020,4907
28/04/2020,4892
03/05/2020,4769
06/04/2020,4678
01/04/2020,4629
10/05/2020,4440
05/05/2020,3999
27/04/2020,3928
31/03/2020,3894
04/05/2020,3687
12/05/2020,3569
29/03/2020,3493
28/03/2020,3422
11/05/2020,3410
30/03/2020,3129
27/03/2020,2749
26/03/2020,2573
25/03/2020,2264
24/03/2020,1780
22/03/2020,1700
23/03/2020,1641
21/03/2020,1369
20/03/2020,1043
19/03/2020,942
18/03/2020,800
16/03/2020,746
17/03/2020,598
14/03/2020,439
15/03/2020,361
13/03/2020,349
12/03/2020,326
11/03/2020,272
13/02/2020,255
09/03/2020,228
10/03/2020,208
24/02/2020,156
15/02/2020,144
16/02/2020,142
19/02/2020,139
21/02/2020,119
20/02/2020,116
22/02/2020,112
11/02/2020,108
17/02/2020,106
23/02/2020,104
07/03/2020,104
06/03/2020,102
18/02/2020,98
08/03/2020,97
12/02/2020,97
10/02/2020,97
09/02/2020,89
08/02/2020,86
04/03/2020,84
05/03/2020,80
25/02/2020,79
07/02/2020,73
06/02/2020,72
03/03/2020,72
02/03/2020,67
05/02/2020,66
04/02/2020,65
29/02/2020,64
26/02/2020,64
01/03/2020,58
28/02/2020,57
03/02/2020,57
02/02/2020,46
01/02/2020,46
31/01/2020,43
27/02/2020,38
30/01/2020,38
29/01/2020,26
28/01/2020,25
27/01/2020,25
26/01/2020,15
25/01/2020,15
14/02/2020,13
22/01/2020,11
24/01/2020,9
21/01/2020,3
19/01/2020,1
15/01/2020,1
11/01/2020,1
23/01/2020,0
04/01/2020,0
03/01/2020,0
02/01/2020,0
01/01/2020,0
31/12/2019,0
13/01/2020,0
12/01/2020,0
10/01/2020,0
09/01/2020,0
08/01/2020,0
07/01/2020,0
06/01/2020,0
05/01/2020,0
18/01/2020,0
17/01/2020,0
16/01/2020,0
14/01/2020,0
20/01/2020,0
